route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
S2,178381114378227,14378227, ,922660,0, , 
S2,178400014378371,14378371, ,922664,0, , 
XP1,178441314381463,14381463, ,900330,0, , 
R16,178444014381487,14381487, ,900660,0, , 
R27,178488214381845,14381845, ,901265,0, , 
S4,178491614384665,14384665, ,902782,0, , 
S1,178232314387672,14387672, ,910856,0, , 
S6,178251514387809,14387809, ,24709,0, , 
XP2,178271414382879,14382879, ,910343,0, , 
S9,178197114385053,14385053, ,931466,0, , 
R16,178319714383264,14383264, ,900636,0, , 
R3,178383214381006,14381006, ,901910,0, , 
R22,178400214383924,14383924, ,911054,0, , 
R17,178398614381119,14381119, ,900166,0, , 
S50,178230014379761,14379761, ,928390,0, , 
S2,178402714381152,14381152, ,922687,0, , 
R3,178192714379455,14379455, ,912965,0, , 
XP1,178272114380095,14380095, ,900386,0, , 
S9,178276214380128,14380128, ,931421,0, , 
XP1,178358714380784,14380784, ,900321,0, , 
R3,178278014380143,14380143, ,912941,0, , 
RE6,178508914389303,14389303, ,2618,0, , 
R35,178386214375375,14375375, ,10568,0, , 
R7,178335114388297,14388297, ,2697,0, , 
S6,178376214386376,14386376, ,24669,0, , 
S6,178466114387034,14387034, ,24674,0, , 
S1,178362414371530,14371530, ,910863,0, , 
S4,178276914370844,14370844, ,900733,0, , 
R17,178448814372243,14372243, ,900170,0, , 
R27,178449914372254,14372254, ,901211,0, , 
R3,178487814372553,14372553, ,901915,0, , 
RE7,178423314372050,14372050, ,901128,0, , 
S1,178491814372586,14372586, ,910857,0, , 
S3,178320214371189,14371189, ,900869,0, , 
R3,178278014370854,14370854, ,912941,0, , 
S4,178359114371500,14371500, ,902732,0, , 
S3,178237114374168,14374168, ,900874,0, , 
XP1,178278914374500,14374500, ,900372,0, , 
XP1,178406214375527,14375527, ,900346,0, , 
S2,178484714379052,14379052, ,922627,0, , 
R28,178492314379117,14379117, ,910375,0, , 
XP1,178192414376692,14376692, ,900344,0, , 
S50,178362214383606,14383606, ,928324,0, , 
S2,178358214383570,14383570, ,922634,0, , 
S50,178445614386865,14386865, ,928342,0, , 
R17,178322514380495,14380495, ,902113,0, , 
S1,178488514387153,14387153, ,910871,0, , 
XP1,178321714383280,14383280, ,900339,0, , 
R16,178231114387660,14387660, ,900631,0, , 
R22,178194914382263,14382263, ,910059,0, , 
S9,178407214386578,14386578, ,930415,0, , 
S2,178365814378091,14378091, ,922656,0, , 
R35,178176114382117,14382117, ,10565,0, , 
S6,178507814387305,14387305, ,24668,0, , 
RE2,178172214370011,14370011, ,2278,0, , 
R2,178172614370014,14370014, ,22624,0, , 
S9,178173514370022,14370022, ,24972,0, , 
R4,178174714370030,14370030, ,10910,0, , 
S9,178175214370034,14370034, ,24952,0, , 
S40,178176014370039,14370039, ,25422,0, , 
S1,178176914370046,14370046, ,24160,0, , 
S1,178177514370048,14370048, ,24126,0, , 
S2,178177614370049,14370049, ,24220,0, , 
