service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
178191414370152,1,1,1,1,1,1,1,20220111,20220612
178241414370569,1,1,1,1,1,1,1,20220111,20220612
178199114370217,1,1,1,1,1,1,1,20220111,20220612
178218114370384,1,1,1,1,1,1,1,20220111,20220612
178218414370390,1,1,1,1,1,1,1,20220111,20220612
178237314370532,1,1,1,1,1,1,1,20220111,20220612
178237414370533,1,1,1,1,1,1,0,20220111,20220612
178193714370172,1,1,1,1,1,1,1,20220111,20220612
178206714370290,1,1,1,1,1,1,1,20220111,20220612
178225714370443,1,1,1,1,1,1,1,20220111,20220612
178237714370536,1,1,1,1,1,1,1,20220111,20220612
178237914370538,1,1,1,1,1,1,0,20220111,20220612
178194614370180,1,1,1,1,1,1,0,20220111,20220612
178204914370272,1,1,1,1,1,1,1,20220111,20220612
178195214370186,1,1,1,1,1,1,1,20220111,20220612
178205014370273,1,1,1,1,1,1,1,20220111,20220612
178205414370278,1,1,1,1,1,1,1,20220111,20220612
178183114370087,1,1,1,1,1,1,1,20220111,20220612
178199514370221,1,1,1,1,1,1,1,20220111,20220612
178233914370503,1,1,1,1,1,1,1,20220111,20220612
178189214370136,1,1,1,1,1,1,0,20220111,20220612
178219314370395,1,1,1,1,1,1,1,20220111,20220612
178235014370510,1,1,1,1,1,1,1,20220111,20220612
178236314370522,1,1,1,1,1,1,0,20220111,20220612
178192514370162,1,1,1,1,1,1,1,20220111,20220612
178192914370166,1,1,1,1,1,1,1,20220111,20220612
178193014370167,1,1,1,1,1,1,1,20220111,20220612
178219414370396,1,1,1,1,1,1,1,20220111,20220612
178232914370496,1,1,1,1,1,1,1,20220111,20220612
178189314370137,1,1,1,1,1,1,0,20220111,20220612
178233714370502,1,1,1,1,1,1,1,20220111,20220612
178276914370844,1,1,1,1,1,1,1,20220111,20220612
178271114370796,1,1,1,1,1,0,0,20220111,20220612
178273814370822,1,1,1,1,1,1,0,20220111,20220612
178382714371712,1,1,1,1,1,1,1,20220111,20220612
178384814371731,1,1,1,1,1,1,1,20220111,20220612
178291214370974,1,1,1,1,1,1,1,20220111,20220612
178301014371050,1,1,1,1,1,1,1,20220111,20220612
178297814371034,1,1,1,1,1,1,1,20220111,20220612
178302214371055,1,1,1,1,1,1,1,20220111,20220612
178257814370701,1,1,1,1,1,1,1,20220111,20220612
178257914370702,1,1,1,1,1,1,1,20220111,20220612
178261514370722,1,1,1,1,1,1,1,20220111,20220612
178502714372685,1,1,1,1,1,1,1,20220111,20220612
178503014372688,1,1,1,1,1,1,1,20220111,20220612
178272014370805,1,1,1,1,1,1,1,20220111,20220612
178289514370955,1,1,1,1,1,1,1,20220111,20220612
178383014371716,1,1,1,1,1,1,1,20220111,20220612
178383214371718,1,1,1,1,1,1,0,20220111,20220612
178394814371800,1,1,1,1,1,1,1,20220111,20220612
178386114371739,1,1,1,1,1,1,1,20220111,20220612
178300014371042,1,1,1,1,1,1,1,20220111,20220612
178398814371832,1,1,1,1,1,1,1,20220111,20220612
178398914371833,1,1,1,1,1,1,1,20220111,20220612
178399014371834,1,1,1,1,1,1,1,20220111,20220612
178500814372668,1,1,1,1,1,1,1,20220111,20220612
178242814370581,1,1,1,1,1,1,1,20220111,20220612
178271914370804,1,1,1,1,1,1,1,20220111,20220612
178275114370829,1,1,1,1,1,0,0,20220111,20220612
178272414370809,1,1,1,1,1,1,1,20220111,20220612
178272614370810,1,1,1,1,1,1,1,20220111,20220612
178275314370831,1,1,1,1,1,1,1,20220111,20220612
178381014371703,1,1,1,1,1,0,0,20220111,20220612
178383814371723,1,1,1,1,1,1,1,20220111,20220612
178399314371837,1,1,1,1,1,1,1,20220111,20220612
178290414370964,1,1,1,1,1,1,1,20220111,20220612
178392014371783,1,1,1,1,1,1,1,20220111,20220612
