service_id,date,exception_type
94754711507372,20201018,2
94754711507372,20201025,2
94754711507372,20201101,2
94754711507372,20201108,2
94754711507372,20201115,2
94754711507372,20201122,2
94754711507372,20201129,2
94754711507372,20201206,2
94754611507364,20191215,2
94754611507364,20191222,2
94754611507364,20191229,2
94754611507364,20200105,2
94754611507364,20200112,2
94754611507364,20200119,2
94754611507364,20200126,2
94754611507364,20200202,2
94754611507364,20200209,2
94754611507364,20200216,2
94754611507364,20200223,2
94754611507364,20200301,2
94754611507364,20200308,2
94754611507364,20200315,2
94754611507364,20200322,2
94754611507364,20200329,2
94754611507364,20200405,2
94754611507364,20200412,2
94754611507364,20200419,2
94754611507364,20200426,2
94754611507364,20200503,2
94754611507364,20200510,2
94754611507364,20200517,2
94754611507364,20200524,2
94754611507364,20200531,2
94754611507364,20200607,2
94754611507364,20200614,2
94754611507364,20200621,2
94754611507364,20200628,2
94754611507364,20200705,2
94754611507364,20200712,2
94754611507364,20200719,2
94754611507364,20200726,2
94754611507364,20200802,2
94754611507364,20200809,2
94754611507364,20200816,2
94754611507364,20200823,2
94754611507364,20200830,2
94754611507364,20200906,2
94754611507364,20200913,2
94754611507364,20200920,2
94754611507364,20200927,2
94754611507364,20201004,2
94754611507364,20201011,2
94754611507364,20201018,2
94754611507364,20201025,2
94754611507364,20201101,2
94754611507364,20201108,2
94754611507364,20201115,2
94754611507364,20201122,2
94754611507364,20201129,2
94754611507364,20201206,2
94755511507436,20191221,2
94755511507436,20191228,2
94755511507436,20200104,2
94755511507436,20200111,2
94755511507436,20200118,2
94755511507436,20200125,2
94755511507436,20200201,2
94755511507436,20200208,2
94755511507436,20200215,2
94755511507436,20200222,2
94755511507436,20200229,2
94755511507436,20200307,2
94755511507436,20200314,2
94755511507436,20200321,2
94755511507436,20200328,2
94755511507436,20200404,2
94755511507436,20200411,2
94755511507436,20200418,2
94755511507436,20200425,2
94755511507436,20200502,2
94755511507436,20200509,2
94755511507436,20200516,2
94755511507436,20200523,2
94755511507436,20200530,2
94755511507436,20200606,2
94755511507436,20200613,2
94755511507436,20200620,2
94755511507436,20200627,2
94755511507436,20200704,2
94755511507436,20200711,2
94755511507436,20200718,2
94755511507436,20200725,2
94755511507436,20200801,2
94755511507436,20200808,2
94755511507436,20200815,2
94755511507436,20200822,2
94755511507436,20200829,2
94755511507436,20200905,2
94755511507436,20200912,2
94755511507436,20200919,2
94755511507436,20200926,2
94755511507436,20201003,2
94755511507436,20201010,2
94755511507436,20201017,2
94755511507436,20201024,2
94755511507436,20201031,2
94755511507436,20201107,2
94755511507436,20201114,2
94755511507436,20201121,2
94755511507436,20201128,2
94755511507436,20201205,2
94755511507436,20201212,2
94754311507340,20191221,2
94754311507340,20191228,2
94754311507340,20200104,2
94754311507340,20200111,2
94754311507340,20200118,2
94754311507340,20200125,2
94754311507340,20200201,2
94754311507340,20200208,2
94754311507340,20200215,2
94754311507340,20200222,2
94754311507340,20200229,2
94754311507340,20200307,2
94754311507340,20200314,2
94754311507340,20200321,2
94754311507340,20200328,2
94754311507340,20200404,2
94754311507340,20200411,2
94754311507340,20200418,2
94754311507340,20200425,2
94754311507340,20200502,2
94754311507340,20200509,2
94754311507340,20200516,2
94754311507340,20200523,2
94754311507340,20200530,2
94754311507340,20200606,2
94754311507340,20200613,2
94754311507340,20200620,2
94754311507340,20200627,2
94754311507340,20200704,2
94754311507340,20200711,2
94754311507340,20200718,2
94754311507340,20200725,2
94754311507340,20200801,2
94754311507340,20200808,2
94754311507340,20200815,2
94754311507340,20200822,2
94754311507340,20200829,2
94754311507340,20200905,2
94754311507340,20200912,2
94754311507340,20200919,2
94754311507340,20200926,2
94754311507340,20201003,2
94754311507340,20201010,2
94754311507340,20201017,2
94754311507340,20201024,2
94754311507340,20201031,2
94754311507340,20201107,2
94754311507340,20201114,2
94754311507340,20201121,2
94754311507340,20201128,2
94754311507340,20201205,2
94754311507340,20201212,2
94626711492446,20191215,2
94626711492446,20191222,2
94626711492446,20191229,2
94626711492446,20200105,2
94626711492446,20200112,2
94626711492446,20200119,2
94626711492446,20200126,2
94626711492446,20200202,2
94626711492446,20200209,2
94626711492446,20200216,2
94626711492446,20200223,2
94626711492446,20200301,2
94626711492446,20200308,2
94626711492446,20200315,2
94626711492446,20200322,2
94626711492446,20200329,2
94626711492446,20200405,2
94626711492446,20200412,2
94626711492446,20200419,2
94626711492446,20200426,2
94626711492446,20200503,2
94626711492446,20200510,2
94626711492446,20200517,2
94626711492446,20200524,2
94626711492446,20200531,2
94626711492446,20200607,2
94626711492446,20200614,2
94626711492446,20200621,2
94626711492446,20200628,2
94626711492446,20200705,2
94626711492446,20200712,2
94626711492446,20200719,2
94626711492446,20200726,2
94626711492446,20200802,2
94626711492446,20200809,2
94626711492446,20200816,2
94626711492446,20200823,2
94626711492446,20200830,2
94626711492446,20200906,2
94626711492446,20200913,2
94626711492446,20200920,2
94626711492446,20200927,2
94626711492446,20201004,2
94626711492446,20201011,2
94626711492446,20201018,2
94626711492446,20201025,2
94626711492446,20201101,2
94626711492446,20201108,2
94626711492446,20201115,2
94626711492446,20201122,2
94626711492446,20201129,2
94626711492446,20201206,2
94676111497995,20191215,2
94676111497995,20191222,2
94676111497995,20191229,2
94676111497995,20200105,2
94676111497995,20200112,2
94676111497995,20200119,2
94676111497995,20200126,2
94676111497995,20200202,2
94676111497995,20200209,2
94676111497995,20200216,2
94676111497995,20200223,2
94676111497995,20200301,2
94676111497995,20200308,2
94676111497995,20200315,2
94676111497995,20200322,2
94676111497995,20200329,2
94676111497995,20200405,2
94676111497995,20200412,2
94676111497995,20200419,2
94676111497995,20200426,2
94676111497995,20200503,2
94676111497995,20200510,2
94676111497995,20200517,2
94676111497995,20200524,2
94676111497995,20200531,2
94676111497995,20200607,2
94676111497995,20200614,2
94676111497995,20200621,2
94676111497995,20200628,2
94676111497995,20200705,2
94676111497995,20200712,2
94676111497995,20200719,2
94676111497995,20200726,2
94676111497995,20200802,2
94676111497995,20200809,2
94676111497995,20200816,2
