service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
94646511494695,1,1,1,1,1,1,1,20191201,20200701
94646911494725,1,1,1,1,1,1,1,20191201,20200701
94634011493241,1,1,1,1,1,1,1,20191201,20200701
94648411494882,1,1,1,1,1,1,1,20191201,20200701
94634811493346,1,1,1,1,1,1,1,20191201,20200701
94598511489173,1,1,1,1,1,1,1,20191201,20200701
94598711489198,1,1,1,1,1,1,1,20191201,20200701
94648611494905,1,1,1,1,1,1,1,20191201,20200701
94597911489098,1,1,1,1,1,1,1,20191201,20200701
94633411493166,1,1,1,1,1,1,1,20191201,20200701
94599911489306,1,1,1,1,1,1,1,20191201,20200701
94749411506605,1,1,1,1,1,1,1,20191201,20200701
94760311507888,1,1,1,1,1,1,1,20191201,20200701
94664511496842,1,1,1,1,1,1,1,20191201,20200701
94871311438259,1,1,1,1,1,0,0,20191201,20200701
94749511506620,1,1,1,1,1,1,1,20191201,20200701
94621011491682,1,1,1,1,1,1,1,20191201,20200701
94692111499769,1,1,1,1,1,1,1,20191201,20200701
94621611491757,1,1,1,1,1,1,1,20191201,20200701
94622111491825,1,1,1,1,1,1,1,20191201,20200701
94812511461584,1,1,1,1,1,0,0,20191201,20200701
94844511438078,1,1,1,1,1,0,0,20191201,20200701
94762011508101,1,1,1,1,1,1,1,20191201,20200701
94585911487448,1,1,1,1,1,1,1,20191201,20200701
94585811487433,1,1,1,1,1,1,1,20191201,20200701
94740011505434,1,1,1,1,1,1,1,20191201,20200701
94722711503017,1,1,1,1,1,1,1,20191201,20200701
94679211498180,1,1,1,1,1,1,1,20191201,20200701
94742111505749,1,1,1,1,1,1,1,20191201,20200701
94814711461792,1,1,1,1,1,1,1,20191201,20200701
94667211497144,1,1,1,1,1,1,1,20191201,20200701
94762711508171,1,1,1,1,1,1,1,20191201,20200701
94682811498579,1,1,1,1,1,1,1,20191201,20200701
94751711506950,1,1,1,1,1,1,1,20191201,20200701
94583211487110,1,1,1,1,1,1,1,20191201,20200701
94726611503602,1,1,1,1,1,1,1,20191201,20200701
94726711503617,1,1,1,1,1,1,1,20191201,20200701
94751211506875,1,1,1,1,1,1,1,20191201,20200701
94751611506935,1,1,1,1,1,1,1,20191201,20200701
94681311498408,1,1,1,1,1,1,1,20191201,20200701
94744411506031,1,1,1,1,1,1,1,20191201,20200701
94664911496874,1,1,1,1,1,1,1,20191201,20200701
94682611498554,1,1,1,1,1,1,1,20191201,20200701
94763711508271,1,1,1,1,1,1,1,20191201,20200701
94673011497839,1,1,1,1,1,1,1,20191201,20200701
94703011501107,1,1,1,1,1,1,1,20191201,20200701
94752311507040,1,1,1,1,1,1,1,20191201,20200701
94597611489063,1,1,1,1,1,1,1,20191201,20200701
94675011497940,1,1,1,1,1,1,1,20191201,20200701
94704511501317,1,1,1,1,1,1,1,20191201,20200701
94814111461499,1,1,1,1,1,0,0,20191201,20200701
94720411502762,1,1,1,1,1,1,1,20191201,20200701
94738111505149,1,1,1,1,1,1,1,20191201,20200701
94708011501842,1,1,1,1,1,1,1,20191201,20200701
94708111501857,1,1,1,1,1,1,1,20191201,20200701
94582011486930,1,1,1,1,1,1,1,20191201,20200701
94676911498035,1,1,1,1,1,1,1,20191201,20200701
94582711487035,1,1,1,1,1,1,1,20191201,20200701
94582811487050,1,1,1,1,1,1,1,20191201,20200701
94583011487080,1,1,1,1,1,1,1,20191201,20200701
94583111487095,1,1,1,1,1,1,1,20191201,20200701
94677011498040,1,1,1,1,1,1,1,20191201,20200701
94748511506486,1,1,1,1,1,1,1,20191201,20200701
94677311498055,1,1,1,1,1,1,1,20191201,20200701
94743011505877,1,1,1,1,1,1,1,20191201,20200701
94729611504052,1,1,1,1,1,1,1,20191201,20200701
94616311491237,1,1,1,1,1,1,1,20191201,20200701
94914111448432,1,1,1,1,1,0,0,20191201,20200701
94739511505360,1,1,1,1,1,1,1,20191201,20200701
94739611505375,1,1,1,1,1,1,1,20191201,20200701
94912411448535,1,1,1,1,1,0,0,20191201,20200701
94841911448544,1,1,1,1,1,0,0,20191201,20200701
94721511502853,1,1,1,1,1,1,1,20191201,20200701
94763811508282,1,1,1,1,1,1,1,20191201,20200701
94763911508292,1,1,1,1,1,1,1,20191201,20200701
94657611495963,1,1,1,1,1,1,1,20191201,20200701
94764411508347,1,1,1,1,1,1,1,20191201,20200701
94764511508362,1,1,1,1,1,1,1,20191201,20200701
94767911508857,1,1,1,1,1,1,1,20191201,20200701
94624511492172,1,1,1,1,1,1,1,20191201,20200701
94666611497075,1,1,1,1,1,1,1,20191201,20200701
94756111507485,1,1,1,1,1,1,1,20191201,20200701
94728511503888,1,1,1,1,1,1,1,20191201,20200701
94728911503948,1,1,1,1,1,1,1,20191201,20200701
94748811506524,1,1,1,1,1,1,1,20191201,20200701
94660211496289,1,1,1,1,1,1,1,20191201,20200701
94662711496639,1,1,1,1,1,1,1,20191201,20200701
94663111496694,1,1,1,1,1,1,1,20191201,20200701
94626611492437,1,1,1,1,1,1,1,20191201,20200701
94626811492457,1,1,1,1,1,1,1,20191201,20200701
94627211492507,1,1,1,1,1,1,1,20191201,20200701
94753011507146,1,1,1,1,1,1,1,20191201,20200701
94590211488084,1,1,1,1,1,1,1,20191201,20200701
94741811505705,1,1,1,1,1,1,1,20191201,20200701
94647811494815,1,1,1,1,1,1,1,20191201,20200701
94688811499341,1,1,1,1,1,1,1,20191201,20200701
94689011499361,1,1,1,1,1,1,1,20191201,20200701
94678011498091,1,1,1,1,1,1,1,20191201,20200701
94662311496584,1,1,1,1,1,1,1,20191201,20200701
94757311507581,1,1,1,1,1,1,1,20191201,20200701
94681011498382,1,1,1,1,1,1,1,20191201,20200701
94739111505300,1,1,1,1,1,1,1,20191201,20200701
94589411487969,1,1,1,1,1,1,1,20191201,20200701
94753411507206,1,1,1,1,1,1,1,20191201,20200701
94846311445380,1,1,1,1,1,0,0,20191201,20200701
94668511497325,1,1,1,1,1,1,1,20191201,20200701
94837311438555,1,1,1,1,1,0,0,20191201,20200701
94702711501085,1,1,1,1,1,1,1,20191201,20200701
94851711441925,1,1,1,1,1,0,0,20191201,20200701
94696511500295,1,1,1,1,1,1,1,20191201,20200701
94656511495812,1,1,1,1,1,1,1,20191201,20200701
94643411494332,1,1,1,1,1,1,1,20191201,20200701
94729911504097,1,1,1,1,1,1,1,20191201,20200701
94687511499165,1,1,1,1,1,1,1,20191201,20200701
94755911507468,1,1,1,1,1,1,1,20191201,20200701
94656011495743,1,1,1,1,1,1,1,20191201,20200701
94674211497900,1,1,1,1,1,1,1,20191201,20200701
94675511497965,1,1,1,1,1,1,1,20191201,20200701
94768211508901,1,1,1,1,1,1,1,20191201,20200701
94769111509036,1,1,1,1,1,1,1,20191201,20200701
94904411442667,1,1,1,1,1,0,0,20191201,20200701
94657811495993,1,1,1,1,1,1,1,20191201,20200701
94867411436675,1,1,1,1,1,0,0,20191201,20200701
94626111492372,1,1,1,1,1,1,1,20191201,20200701
94626011492357,1,1,1,1,1,1,1,20191201,20200701
94626411492407,1,1,1,1,1,1,1,20191201,20200701
94674111497896,1,1,1,1,1,1,1,20191201,20200701
94763311508232,1,1,1,1,1,1,1,20191201,20200701
94711511502127,1,1,1,1,1,1,1,20191201,20200701
94667911497245,1,1,1,1,1,1,1,20191201,20200701
94723311503108,1,1,1,1,1,1,1,20191201,20200701
94718711502636,1,1,1,1,1,1,1,20191201,20200701
94595611488774,1,1,1,1,1,1,1,20191201,20200701
94689211499391,1,1,1,1,1,1,1,20191201,20200701
94706611501633,1,1,1,1,1,1,1,20191201,20200701
94698511500550,1,1,1,1,1,1,1,20191201,20200701
94765611508527,1,1,1,1,1,1,1,20191201,20200701
94736711504940,1,1,1,1,1,1,1,20191201,20200701
94691011499620,1,1,1,1,1,1,1,20191201,20200701
94708511501878,1,1,1,1,1,1,1,20191201,20200701
94706211501573,1,1,1,1,1,1,1,20191201,20200701
